{'eval_loss': 0.3686513900756836,
 'eval_LOC_precision': 0.7102689486552567,
 'eval_LOC_recall': 0.7217391304347827,
 'eval_LOC_f1': 0.7159581022797289,
 'eval_LOC_number': 1610,
 'eval_ORG_precision': 0.5373376623376623,
 'eval_ORG_recall': 0.5558354324097398,
 'eval_ORG_f1': 0.5464300453982667,
 'eval_ORG_number': 1191,
 'eval_PER_precision': 0.7204460966542751,
 'eval_PER_recall': 0.7534992223950233,
 'eval_PER_f1': 0.7366020524515393,
 'eval_PER_number': 2572,
 'eval_overall_precision': 0.6768621806405182,
 'eval_overall_recall': 0.7001675041876047,
 'eval_overall_f1': 0.6883176287622358,
 'eval_overall_accuracy': 0.855465579764438,
 'eval_runtime': 60.9109,
 'eval_samples_per_second': 59.398,
 'eval_steps_per_second': 7.437,
 'epoch': 3.0}
